text,label
"Dear customer, confirm your bank details to receive funds: http://safe.example/bank-verify",phishing
Thanks for submitting the form. We will get back to you within 2 business days.,legitimate
You have won a $ 500 gift card! Claim here: http://notify.example/claim,phishing
Account verification required for Apex Solutions. Login: http://support.example/login,phishing
Reset your password using this link: http://update.example/reset,phishing
Reset your password using this link: http://service-check.example/reset,phishing
Here is the project report you requested. Please find attached the document.,legitimate
"Action required: Your mailbox has exceeded storage, click here to restore: http://helpdesk.example/restore",phishing
Please review the code changes in the pull request and leave feedback.,legitimate
Can we reschedule our meeting to Tuesday? Thanks.,legitimate
Unusual sign-in attempt detected. Confirm here: http://update.example/confirm,phishing
Please review the code changes in the pull request and leave feedback.,legitimate
HR: Please complete the annual compliance training by 10/8/2025.,legitimate
A delivery attempt failed. Provide details here: http://helpdesk.example/delivery,phishing
Lunch at 17 PM today?,legitimate
Reset your password using this link: http://verify-now.example/reset,phishing
Meeting is scheduled at 14 AM tomorrow in conference room D4.,legitimate
Your invoice for order #9992 is attached. Thank you for your purchase.,legitimate
Please find the minutes of the meeting attached from yesterday.,legitimate
Your flight booking details for Pune are attached. Safe travels!,legitimate
Meeting is scheduled at 17 AM tomorrow in conference room B2.,legitimate
Please find the minutes of the meeting attached from yesterday.,legitimate
FYI: The server maintenance window is scheduled on 17/11/2025 at 15 AM.,legitimate
Meeting is scheduled at 17 AM tomorrow in conference room A1.,legitimate
Monthly newsletter - product updates and tips from Acme Corp.,legitimate
HR: Please complete the annual compliance training by 28/8/2025.,legitimate
HR: Please complete the annual compliance training by 14/10/2025.,legitimate
Here is the project report you requested. Please find attached the document.,legitimate
Meeting is scheduled at 13 AM tomorrow in conference room A1.,legitimate
Account verification required for Innotech. Login: http://notify.example/login,phishing
Meeting is scheduled at 10 AM tomorrow in conference room B2.,legitimate
Meeting is scheduled at 17 AM tomorrow in conference room D4.,legitimate
FYI: The server maintenance window is scheduled on 13/5/2025 at 13 AM.,legitimate
You have won a $ 500 gift card! Claim here: http://accounts.example/claim,phishing
Your subscription renewal receipt for CloudMail is attached.,legitimate
Your email storage will be closed unless you verify: http://verify-now.example/restore-mail,phishing
FYI: The server maintenance window is scheduled on 10/4/2025 at 18 AM.,legitimate
Can we reschedule our meeting to Friday? Thanks.,legitimate
You have won a $ 200 gift card! Claim here: http://safe.example/claim,phishing
Reminder: Team standup at 14:45 today. See you there.,legitimate
Can we reschedule our meeting to Monday? Thanks.,legitimate
Your invoice for order #3185 is attached. Thank you for your purchase.,legitimate
Urgent: Update your payment information immediately to avoid cancellation: http://update.example/billing,phishing
Happy birthday! Wishing you a wonderful day from the entire team.,legitimate
Your email storage will be closed unless you verify: http://secure-portal.example/restore-mail,phishing
Your subscription renewal receipt for SecureDrive is attached.,legitimate
Final notice: Outstanding invoice needs payment: http://support.example/pay,phishing
A delivery attempt failed. Provide details here: http://secure-portal.example/delivery,phishing
Can we reschedule our meeting to Friday? Thanks.,legitimate
FYI: The server maintenance window is scheduled on 5/10/2025 at 15 AM.,legitimate
Your invoice for order #9361 is attached. Thank you for your purchase.,legitimate
Your invoice for order #1359 is attached. Thank you for your purchase.,legitimate
Please find the minutes of the meeting attached from yesterday.,legitimate
Final notice: Outstanding invoice needs payment: http://service-check.example/pay,phishing
Reminder: Team standup at 9:00 today. See you there.,legitimate
Unusual sign-in attempt detected. Confirm here: http://securebank.example/confirm,phishing
Reminder: Team standup at 15:15 today. See you there.,legitimate
Final notice: Outstanding invoice needs payment: http://securebank.example/pay,phishing
FYI: The server maintenance window is scheduled on 15/10/2025 at 17 AM.,legitimate
Important: Verify your tax refund details: http://support.example/tax-refund,phishing
FYI: The server maintenance window is scheduled on 21/5/2025 at 17 AM.,legitimate
Your subscription renewal receipt for SecureDrive is attached.,legitimate
Thanks for submitting the form. We will get back to you within 2 business days.,legitimate
